iter	MultiClass
0	4.834713425
1	4.430732526
2	3.995382265
3	3.725713284
4	3.407968587
5	3.096526855
6	2.871495901
7	2.663989115
8	2.561967107
9	2.40515054
10	2.240123154
11	2.111817224
12	2.027859267
13	1.94277463
14	1.847483055
15	1.759752058
16	1.665929932
17	1.563011993
18	1.492938711
19	1.430766853
20	1.381735312
21	1.335035752
22	1.271436471
23	1.219351391
24	1.171725363
25	1.131428945
26	1.092182096
27	1.050526434
28	1.011333733
29	0.9709434004
30	0.9444643668
31	0.9151863264
32	0.8700175605
33	0.8418634278
34	0.8110362554
35	0.7811908732
36	0.7616558075
37	0.7366309159
38	0.7105327878
39	0.6891471279
40	0.6770302374
41	0.6595043693
42	0.6445276601
43	0.6252648424
44	0.6060595387
45	0.5924904932
46	0.5834321633
47	0.5696249284
48	0.5521705454
49	0.5378076367
50	0.5220317431
51	0.5131034108
52	0.5037781424
53	0.4870479948
54	0.4742468904
55	0.465685225
56	0.4500401808
57	0.439115897
58	0.4323067941
59	0.4266370311
60	0.4140341747
61	0.4049248367
62	0.3989071039
63	0.3933277855
64	0.3842862015
65	0.379068326
66	0.3733998604
67	0.3675598355
68	0.3625439735
69	0.3544831872
70	0.3488171728
71	0.3435702378
72	0.3378652174
73	0.3338632568
74	0.3285912414
75	0.324542467
76	0.3206122435
77	0.3127442527
78	0.3099076604
79	0.3068574279
80	0.3036130676
81	0.2995463423
82	0.2954114004
83	0.2895874277
84	0.2852878992
85	0.281384128
86	0.2747920739
87	0.2717205957
88	0.2662586941
89	0.2625871746
90	0.2583632582
91	0.2536018168
92	0.2502194971
93	0.2449850888
94	0.2426249899
95	0.2399181029
96	0.2373990299
97	0.2333768875
98	0.2299123102
99	0.2276896087
100	0.2254726123
101	0.221841296
102	0.2206284602
103	0.2169793204
104	0.2140890734
105	0.210738892
106	0.2092144166
107	0.2069877024
108	0.2041678141
109	0.2020921182
110	0.1988270504
111	0.1965396663
112	0.1946958421
113	0.1930638205
114	0.191078605
115	0.1890107987
116	0.1875258642
117	0.1851433318
118	0.1829995855
119	0.1807488129
120	0.1781550671
121	0.1772393087
122	0.1753041667
123	0.1744596988
124	0.1721487344
125	0.17092376
126	0.1686865312
127	0.1673421173
128	0.1644828119
129	0.1633109026
130	0.1621123433
131	0.1603428988
132	0.15827116
133	0.1557768914
134	0.1551864359
135	0.1543915766
136	0.152925807
