iter	Passed	Remaining
0	3018	410539
1	5906	398658
2	8759	391256
3	11509	382683
4	14344	378691
5	17082	372966
6	19905	369670
7	22683	365777
8	25508	362783
9	28257	358871
10	31134	356633
11	33968	353842
12	36820	351210
13	39556	347532
14	42487	345562
15	45315	342700
16	48312	341030
17	51124	337992
18	53923	334890
19	56695	331671
20	59517	328763
21	62489	326650
22	65534	324825
23	68204	321129
24	71039	318256
25	73775	314966
26	76597	312065
27	79393	309068
28	82358	306712
29	85077	303443
30	87936	300684
31	90671	297517
32	93449	294506
33	96114	291169
34	99025	288587
35	101971	286086
36	104730	283054
37	107540	280170
38	110382	277372
39	113196	274501
40	116005	271621
41	118855	268838
42	121751	266153
43	124495	263137
44	127258	260173
45	130054	257282
46	132736	254175
47	135583	251393
48	138295	248367
49	141080	245479
50	143947	242734
51	146997	240284
52	149960	237673
53	152762	234801
54	155702	232138
55	158641	229463
56	161452	226599
57	164282	223764
58	167092	220902
59	169852	217977
60	172555	214986
61	175448	212235
62	178436	209592
63	181095	206562
64	183875	203676
65	186616	200754
66	189415	197897
67	192070	194894
68	194985	192159
69	197823	189345
70	200646	186516
71	203372	183600
72	206163	180746
73	208921	177865
74	211650	174964
75	214550	172205
76	217297	169322
77	220138	166514
78	223060	163765
79	225927	160973
80	228769	158161
81	231628	155360
82	234573	152614
83	237230	149681
84	240180	146933
85	247367	146694
86	254366	146187
87	261397	145550
88	269068	145115
89	276695	144496
90	283456	143285
91	290710	142195
92	297703	140849
93	305176	139602
94	308731	136491
95	315318	134667
96	321649	132639
97	328177	130601
98	334982	128579
99	341512	126359
100	348247	124127
101	355405	121952
102	362324	119602
103	369461	117232
104	376281	114676
105	383071	112030
106	389844	109302
107	396598	106493
108	403314	103603
109	410435	100743
110	417161	97713
111	423807	94599
112	430537	91441
113	437106	88188
114	443844	84909
115	451358	81711
116	458511	78377
117	465336	74927
118	472582	71483
119	479640	67949
120	486270	64300
121	493207	60640
122	500677	56987
123	508106	53269
124	514983	49438
125	522076	45578
126	528863	41642
127	535707	37666
128	543217	33687
129	550663	29651
130	557592	25538
131	564426	21379
132	571445	17186
133	578307	12947
134	585066	8667
135	592470	4356
136	599543	0
